code,Vx,INL_ideal_LSB,DNL_ideal_LSB,INL_fit_LSB,DNL_fit_LSB
191,1.263898,-11.2448,-0.0626,-0.0088,-0.0040
192,1.270829,-11.2591,-0.0143,0.0385,0.0473
193,1.277422,-11.3214,-0.0623,0.0348,-0.0037
194,1.284018,-11.3834,-0.0620,0.0315,-0.0033
195,1.290614,-11.4453,-0.0619,0.0282,-0.0032
196,1.297208,-11.5074,-0.0621,0.0247,-0.0035
197,1.303867,-11.5604,-0.0530,0.0310,0.0062
198,1.310401,-11.6312,-0.0708,0.0182,-0.0127
199,1.317056,-11.6846,-0.0535,0.0239,0.0057
200,1.323585,-11.7560,-0.0714,0.0106,-0.0133
201,1.330184,-11.8175,-0.0614,0.0078,-0.0028
202,1.336779,-11.8796,-0.0621,0.0043,-0.0035
203,1.343435,-11.9330,-0.0534,0.0101,0.0058
204,1.349968,-12.0038,-0.0708,-0.0027,-0.0128
205,1.356624,-12.0571,-0.0533,0.0032,0.0059
206,1.363219,-12.1192,-0.0621,-0.0003,-0.0035
207,1.369808,-12.1821,-0.0629,-0.0046,-0.0043
208,1.376804,-12.1871,-0.0050,0.0526,0.0572
209,1.383397,-12.2495,-0.0624,0.0488,-0.0038
210,1.389991,-12.3116,-0.0621,0.0454,-0.0035
211,1.396583,-12.3741,-0.0625,0.0414,-0.0040
212,1.403181,-12.4357,-0.0616,0.0385,-0.0029
213,1.409772,-12.4984,-0.0627,0.0344,-0.0041
214,1.416366,-12.5605,-0.0621,0.0309,-0.0035
215,1.422956,-12.6233,-0.0628,0.0267,-0.0043
216,1.429560,-12.6840,-0.0607,0.0247,-0.0020
217,1.436151,-12.7467,-0.0627,0.0206,-0.0041
218,1.442745,-12.8088,-0.0621,0.0171,-0.0035
219,1.449335,-12.8716,-0.0628,0.0129,-0.0043
220,1.455935,-12.9330,-0.0613,0.0102,-0.0027
221,1.462524,-12.9958,-0.0628,0.0060,-0.0042
222,1.469129,-13.0565,-0.0607,0.0040,-0.0020
223,1.475708,-13.1207,-0.0642,-0.0018,-0.0058
224,1.482642,-13.1346,-0.0139,0.0460,0.0477
225,1.489302,-13.1874,-0.0527,0.0524,0.0065
226,1.495897,-13.2495,-0.0621,0.0490,-0.0035
227,1.502488,-13.3120,-0.0626,0.0450,-0.0040
228,1.509022,-13.3828,-0.0708,0.0323,-0.0127
229,1.515620,-13.4445,-0.0616,0.0293,-0.0030
230,1.522215,-13.5064,-0.0620,0.0260,-0.0033
231,1.528814,-13.5679,-0.0615,0.0232,-0.0028
232,1.535465,-13.6220,-0.0541,0.0282,0.0050
233,1.541999,-13.6928,-0.0708,0.0155,-0.0127
234,1.548650,-13.7468,-0.0540,0.0206,0.0051
235,1.555239,-13.8097,-0.0629,0.0163,-0.0043
236,1.561840,-13.8709,-0.0612,0.0138,-0.0025
237,1.568430,-13.9337,-0.0628,0.0096,-0.0042
238,1.574976,-14.0026,-0.0689,-0.0011,-0.0107
239,1.581614,-14.0586,-0.0560,0.0019,0.0030
240,1.588612,-14.0633,-0.0048,0.0593,0.0574
241,1.595203,-14.1259,-0.0625,0.0554,-0.0039
242,1.601798,-14.1880,-0.0621,0.0519,-0.0035
243,1.608389,-14.2506,-0.0627,0.0479,-0.0041
244,1.614988,-14.3121,-0.0615,0.0450,-0.0028
245,1.621578,-14.3748,-0.0627,0.0409,-0.0041
246,1.628172,-14.4370,-0.0621,0.0374,-0.0035
247,1.634762,-14.4998,-0.0628,0.0332,-0.0042
248,1.641366,-14.5605,-0.0607,0.0312,-0.0020
249,1.647956,-14.6232,-0.0627,0.0270,-0.0041
250,1.654551,-14.6853,-0.0621,0.0235,-0.0035
251,1.661141,-14.7481,-0.0628,0.0193,-0.0042
252,1.667739,-14.8096,-0.0615,0.0165,-0.0029
253,1.674329,-14.8724,-0.0628,0.0123,-0.0042
254,1.680925,-14.9344,-0.0620,0.0089,-0.0034
255,1.687483,-15.0016,-0.0672,0.0000,-0.0089
